Cable Chest Press$,Set both pulleys slightly above shoulder height and select the desired weight. Grasp both handles with a slightly pronated grip and take a step forward to split the stance.Press the handles slightly down to lockout while flexing the pecs and extending the elbows.Slowly lower back to the starting position and repeat for the desired number of repetitions.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tall Kneeling Medicine Ball Chest Pass$,"Setup in a tall kneeling position while holding a medicine ball at your chest with a soft bend in your knees. Exhale, press the arms to extension, and aggressively launch the med ball into the wall directly in front of you. Catch the med ball as it returns from the wall and repeat step #2 for the desired number of repetitions.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decline Bench Knee Raise$,"The decline bench knee raise is a good exercise to hit your lower abs. Grab a decline bench and set the angle to around 30 to 45 degrees. Lay on the bench backwards, with your head the highest end. Hold onto the pads above your head for stability. With your feet and knees together, point your legs out straight so your body forms a straight plank. Your legs should not be resting on the bench. This is the starting position for the exercise. Execute by slowly pulling your knees up towards your chest as high as possible. Pause, then slowly lower back to the starting position. Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise Ball Plank$,Grab an exercise ball. Interlace your fingers and place your forearms on the top of the ball. Extend your legs out so that only your toes are touching the floor. Straighten your body out. Hold this position for as long as possible. Repeat for desired reps.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plank to Hip Raise$,Assume a kneeling position with your elbows resting slightly above your head on the floor. Extend each leg and maintain a hip width stance. Push your elbows into the floor and pike your hips. Lower your hips back to the starting position and repeat for the desired number of repetitions.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisting Floor Crunch$,"The twisting floor crunch works the abs and obliques. Position a mat on the floor and lie down on the mat flat on your back. Pull your left leg up until your knee joint is at around 90 degrees. Now take your right leg and rest your ankle on your left knee.Now take your right leg and rest your ankle on your left knee.Now take your right leg and rest your ankle on your left knee. Start the exercise by touching the side of your head with your fingertips and raising your shoulder blades slightly off the mat. Crunch up, bringing your left elbow up to your right knee. Slowly lower back to starting position without letting your shoulder blades touch the floor. Repeat set for the opposite side of the body.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing Stomach Vacuum$,"In a standing position, place your hands overhead or on your sides and exhale all of the air from your lungs. Once you’ve completely exhaled, think about trying to draw your belly button to your spine. Hold for the desired amount of time and then repeat for assigned number of repetitions.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisting Cable Crunch$,"The twisting cable crunch is designed to work your obliques and abs. Attach the rope attachment to a high pulley cable and set the appropriate weight on the stack. Stand directly in front of the cable machine, facing away from it. Grasp the rope from behind your head with your palms facing inward and drop to your knees. Your buttocks should be resting on top of your feet. Keeping your elbows bent and hands at either head height or shoulder height, crunch down in a twisting motion so that you're bringing your right elbow down towards your left knee. Pause, then slowly lower yourself back to the starting position. Repeat the movement, but this time bring your left elbow down to your right knee.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kettlebell Windmills$,"Assume a standing position with a kettlebell in between your legs. Grasp the handle and clean the bell into position at shoulder level. Press overhead, assume a wider than shoulder width stance, and turn both toes to 45 degrees. Slowly allow the hips to dip and get close to touching the floor. Return back to the starting position and repeat for the desired number of repetitions on both sides.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wide Stance Cable Anti-Rotation$,Assume an athletic position with your feet much wider than shoulder width and attach a rope to a cable stack at chest height. Keep the arms locked out and rotate at the shoulders to bring the rope across your body. Slowly return to the starting position and repeat for the desired number of repetitions on both sides.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plank$,"The Plank is a stationary exercise that helps strengthen the entire core of the body. Set up for the plank by getting a mat and laying down on your stomach. To start the exercise prop your torso up on your elbows and your feet up on your toes. Keeping yourself completely straight, hold this position for as long as possible. Typically, the plank is done for 3 x 1 minute sets. However, as you get stronger your should be able to do 1 - 3 minutes.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Body Band Resistance Dead Bug$,"Attach a band to a rack and set up in a supine position with your legs in a 90/90 position (90 degree bend at the hips and knees) and your arms reaching towards the ceiling. While keeping the arms straight, pull the band down to activate the lats. Extend one leg as you exhale. Return back to the starting position and repeat on the opposite side. Repeat for the desired number of total repetitions. $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Leg Lying Cable Knee Raise$,"To set up for a one leg lying cable knee raise, get a flat bench and place it length ways about 3 feet in front of a low pulley cable machine. Attach ankle straps to the pulley and set the desired weight. Face the cable machine and place the ankle strap around one of your ankles. Sit on the bench facing the cable machine with your buttocks at the end of the bench. Lay back on the bench, grasping the other end of the bench above your head for support. Pull the knee up slightly to take the weight off the stack. Slowly pull your knee up as high as you can. Pause, then slowly lower back to the starting position. Do not let the weight touch the stack at all during the set.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decline Sit Up$,"Set the decline bench to an angle of between 30 and 45 degrees (the more than angle, the harder the situps will be). Sit on the bench with your legs resting through the pads. Cross your arms across your chest and lean back until your back almost touches the bench. Raise yourself back up until your upper body is vertical, then lower again. $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Chair Twisting Knee Raise$,"The Roman Chair Twisting Knee Raise hits your lower abs and obliques. Set up for the exercise by positioning yourself in the Roman chair. Your forearms should be along the horizontal pads, hands gripping the handles, and back against the back pad. Take your feet off the supports so they're hanging. This is the start position of the exercise. Slowly raise your knees up and across your body as far as possible to the left side. Pause, then lower back to starting position. Repeat that movement for your right side. That is one repetition.  Repeat for your desired reps. $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reverse Crunch to Dead Bug$,Setup in a supine position with your legs in a 90/90 position (90 degree bend at the hips and knees) and your arms overhead holding onto a kettlebell. Drive the knees towards the chest and exhale as you complete the reverse crunch. Return to the starting position and extend the opposite arm and leg simultaneously as you exhale. Repeat steps #2 and #3 for the desired number of total repetitions.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glute Bridge Pallof Press$,"Assume a supine position and attach a handle to a cable stack at chest height. Hold the handle at your chest and bridge your hips to extension. Bridge your hips to an extended position, hold the handle to your chest and allow the knees to remain bent with the feet flat. Press the handle vertically to extension as you exhale. Return to the starting position and repeat for the desired number of repetitions on both sides.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decline Abdominal Reach$,"Set a decline bench at a height of between 30 and 45 degrees. The higher you set the bench the more challenging the exercise will be. Position yourself on the bench with your head at the lowest end. Get into the starting position by putting your hands together pointing at the ceiling and raising your shoulder blades slightly off the bench. Keeping your hands together, reach straight up towards the ceiling as far as possible. Pause, then lower yourself back to the starting position (with your shoulder blades off the bench).$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise Ball Hip Roll$,"Set up for the exercise ball hip roll by placing a mat on the floor and placing the exercise ball at one end. Lay down on your back on the mat and put your legs over the top of the exercise ball. Your calves should be on top of the ball. For stability, put your arms out flat on the floor with your palms facing down. This is the starting position for the exercise.  Using your core muscles, roll the exercise ball over to the left as far as possible. Repeat this movement for the right side. This is one rep, repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicine Ball Rollouts $,Assume a tall kneeling (both knees down) stance with your palms facing and your hands resting on a medicine ball. Push the medicine ball forward with your arms extended until your arms are fully overhead. Brace your abs and pull yourself back to the starting position. Repeat for the desired number of repetitions.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Alphabet$,"Attach a band to a stable object at roughly chest height. Grasp the band with an overlapping grip and assume an athletic position with your feet slightly wider than shoulder width apart. Press the band horizontally to extension and begin by drawing each letter of the alphabet in a slow, controlled fashion. Once you have completed the desired number of letters, repeat on the opposite side.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frog Sit Up$,"Lay supine in a relaxed position with your arms crossed, feet together, legs open, and knees pushed outwards. Exhale and squeeze your abs as you raise your upper back off the floor. Once your abs are fully contracted, slowly lower yourself back to the starting position and complete for the assigned number of repetitions.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seated Dumbbell Side Bends$,"This exercise works the obliques. Grasp a set of dumbbells. Sit down on a the end of a flat bench with one dumbbell in each hand, palms facing in and hanging by your side. Keep your feet firmly on the floor with a shoulder width stance. Keeping your back straight and your eyes facing forwards, bend down to the right as far as you can, then back up again. Without pausing at the top, bend down to the left. Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decline Cable Knee Raise$ ,"The decline knee raise hits the lower abs. Set up the equipment by placing a decline bench in front of a low pulley cable machine. Place the low end of the decline bench closest to the cables. Attach the ankle strap to the low pulley cable and select the desired weight. Attach the ankle straps to your ankles. Lay down on the decline bench with your head up the high end and grip the pads at the top of the bench for support. Pull your knees up slightly to take the weight off the stack. Slowly pull your knees up as high as possible. Pause, then slowly lower back down to starting position. Don't let the weight drop to the stack throughout the entire set!$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing Push-Pull$,Attach a handle to a cable stack on both sides and position at chest height. Assume an athletic position with your feet slightly wider than shoulder width and grasp each handle. Position yourself so that one arm is extended and the other is flexed close to your chest ready to press horizontally. Exhale and press one handle to extension while simultaneously rowing the other handle and limiting rotation of your hips. Slowly lower back to the starting position and repeat in the opposite direction for the desired number of repetitions.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decline Bench Leg Raise$,"The decline bench leg raise is a good exercise to hit your lower abs. Grab a decline bench and set the angle to around 30 to 45 degrees. Lay on the bench backwards, with your head the highest end. Hold onto the pads above your head for stability. With your feet and knees together, point your legs out straight so your body forms a straight plank. Your legs should not be resting on the bench. This is the starting position for the exercise. Keeping your legs straight, knees and feet together and rotating at the hips only, bring your feet up as far as possible. Don't pause at the top of the exercise, as this counts as a rest! Lower your legs back to the starting position and then repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
